Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment
75,1,8.7,3,1,1,311
155,1,53.0,2,1,1,211
76,1,390.0,3,1,3,313
217,1,89.9,1,1,2,112
162,2,172.89,2,3,3,233
113,1,18.9,2,1,1,211
80,1,94.9,3,1,2,312
187,1,44.9,1,1,1,111
148,1,1914.58,2,1,3,213
193,1,31.9,1,1,1,111
58,1,25.8,3,1,1,311
26,1,127.0,3,1,2,312
189,1,119.8,1,1,2,112
125,1,91.8,2,1,2,212
37,1,65.9,3,1,2,312
135,1,21.9,2,1,1,211
199,1,249.99,1,1,3,113
160,1,15.99,2,1,1,211
17,1,190.56,3,1,3,313
212,1,157.9,1,1,3,113
6,1,65.0,3,1,2,312
91,1,49.9,2,1,1,211
237,1,29.9,1,1,1,111
93,1,49.9,2,1,1,211
110,1,129.0,2,1,3,213
36,1,93.99,3,1,2,312
161,1,14.99,2,1,1,211
183,1,73.0,1,1,2,112
107,1,173.9,2,1,3,213
236,1,99.0,1,1,2,112
20,1,2338.08,3,1,3,313
107,1,149.9,2,1,3,213
213,1,97.07,1,1,2,112
187,1,19.36,1,1,1,111
86,1,157.0,2,1,3,213
96,1,29.9,2,1,1,211
36,1,54.5,3,1,1,311
182,1,115.0,1,1,2,112
202,1,144.99,1,1,3,113
222,1,19.99,1,1,1,111
233,1,54.9,1,1,1,111
113,1,150.0,2,1,3,213
224,1,289.0,1,1,3,113
42,1,139.9,3,1,3,313
50,1,29.89,3,1,1,311
231,1,49.9,1,1,1,111
229,1,388.0,1,1,3,113
105,1,66.9,2,1,2,212
216,1,29.0,1,1,1,111
230,1,23.99,1,1,1,111
46,1,200.0,3,1,3,313
73,1,89.9,3,1,2,312
66,1,2110.0,3,1,3,313
107,2,182.97,2,3,3,233
143,2,45.98,2,3,1,231
132,1,79.99,2,1,2,212
180,1,54.9,1,1,1,111
147,1,29.99,2,1,1,211
224,1,69.77,1,1,2,112
214,1,114.9,1,1,2,112
114,1,169.9,2,1,3,213
155,1,59.0,2,1,2,212
225,1,29.9,1,1,1,111
85,1,119.9,2,1,2,212
207,1,83.0,1,1,2,112
111,1,149.9,2,1,3,213
204,1,19.9,1,1,1,111
117,1,95.0,2,1,2,212
204,1,112.0,1,1,2,112
182,1,19.89,1,1,1,111
100,1,71.9,2,1,2,212
193,2,162.0,1,3,3,133
93,1,69.9,2,1,2,212
134,1,226.62,2,1,3,213
154,1,907.8199999999999,2,1,3,213
73,1,29.89,3,1,1,311
21,1,63.99,3,1,2,312
20,1,29.99,3,1,1,311
37,1,99.0,3,1,2,312
68,1,42.0,3,1,1,311
130,1,35.0,2,1,1,211
93,1,24.9,2,1,1,211
163,1,52.9,2,1,1,211
118,1,67.0,2,1,2,212
225,1,670.0,1,1,3,113
179,1,179.8,1,1,3,113
18,1,150.0,3,1,3,313
21,1,276.0,3,1,3,313
42,1,189.99,3,1,3,313
235,1,79.9,1,1,2,112
187,1,113.0,1,1,2,112
202,1,780.0,1,1,3,113
184,1,48.0,1,1,1,111
223,1,19.9,1,1,1,111
50,1,49.99,3,1,1,311
69,1,155.0,3,1,3,313
202,1,79.0,1,1,2,112
64,1,99.99,3,1,2,312
100,1,765.0,2,1,3,213
19,1,229.9,3,1,3,313
19,1,329.9,3,1,3,313
141,1,69.99,2,1,2,212
124,1,217.9,2,1,3,213
81,1,179.0,3,1,3,313
69,1,69.0,3,1,2,312
56,2,20.2,3,3,1,331
114,1,79.99,2,1,2,212
140,1,59.9,2,1,2,212
41,1,59.9,3,1,2,312
221,1,110.0,1,1,2,112
230,1,20.0,1,1,1,111
26,1,29.99,3,1,1,311
29,1,169.89,3,1,3,313
13,1,99.99,3,1,2,312
132,1,24.9,2,1,1,211
105,1,125.99,2,1,2,212
226,1,139.0,1,1,3,113
141,1,39.99,2,1,1,211
35,2,387.7,3,3,3,333
181,1,69.9,1,1,2,112
74,1,117.0,3,1,2,312
